Grid Search Summary
================================================================================

Sorted by best validation loss
--------------------------------------------------------------------------------
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p0005_K20 | model=attention_lstm | val=5.6061 | test=5.5827 | ppl=265.80 | bleu=6.400894512757355e-08 | bigram=0.0009615384615384616 | trigram=0.0 | spell=0.864630892855493
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p0005_K5 | model=attention_lstm | val=5.6077 | test=5.5887 | ppl=267.39 | bleu=3.7709603319414203e-10 | bigram=0.0 | trigram=0.0 | spell=0.8766441512275598
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p001_K10 | model=attention_lstm | val=5.6144 | test=5.5899 | ppl=267.70 | bleu=4.022419016063881e-10 | bigram=0.0 | trigram=0.0 | spell=0.8546048228287001
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p001_K5 | model=attention_lstm | val=5.6164 | test=5.5896 | ppl=267.62 | bleu=6.966173525561258e-08 | bigram=0.0009433962264150943 | trigram=0.0 | spell=0.8691290895581757
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p001_K5 | model=attention_lstm | val=5.6178 | test=5.5880 | ppl=267.20 | bleu=3.560173658208008e-10 | bigram=0.0 | trigram=0.0 | spell=0.893101085612912
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p0005_K10 | model=attention_lstm | val=5.6244 | test=5.5957 | ppl=269.28 | bleu=3.7572863845483897e-10 | bigram=0.0 | trigram=0.0 | spell=0.888065533366197
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p0005_K20 | model=attention_lstm | val=5.6245 | test=5.6025 | ppl=271.10 | bleu=6.710738964756765e-08 | bigram=0.0009090909090909091 | trigram=0.0 | spell=0.8513969106513949
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p0005 | model=lstm | val=5.6304 | test=5.6168 | ppl=275.00 | bleu=3.776677467472944e-10 | bigram=0.0 | trigram=0.0 | spell=0.8657200427263667
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p0005_K5 | model=attention_lstm | val=5.6327 | test=5.6048 | ppl=271.74 | bleu=3.7511465378825476e-10 | bigram=0.0 | trigram=0.0 | spell=0.8454446828375985
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p0005_K5 | model=attention_lstm | val=5.6363 | test=5.6116 | ppl=273.59 | bleu=3.5452323465352487e-10 | bigram=0.0 | trigram=0.0 | spell=0.8934806796812425
