run_name,model_name,num_layers,hidden_dim,dropout,learning_rate,seq_length,window_size_k,last_train_loss,best_val_loss,test_loss,test_ppl
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p2_LR0p001_K20,attention_lstm,1,128,0.2,0.001,100,20,4.567526839118355,5.207596943875269,5.169906842506538,175.8984504620414
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p2_LR0p001_K40,attention_lstm,1,128,0.2,0.001,100,40,4.585729740187099,5.176548374730762,5.130100876777634,169.0341688071191
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p3_LR0p001_K20,attention_lstm,1,128,0.3,0.001,100,20,4.7037568498213504,5.1069430237275295,5.063907460753303,158.20749971516648
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p3_LR0p001_K40,attention_lstm,1,128,0.3,0.001,100,40,4.715944630820923,5.086297477591533,5.043619925288831,155.03019823862488
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p2_LR0p001_K20,attention_lstm,2,128,0.2,0.001,100,20,4.762340519712497,4.908077843206818,4.854947839259204,128.37399495740476
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p2_LR0p001_K40,attention_lstm,2,128,0.2,0.001,100,40,4.77073786898246,4.885571471563272,4.829592121882178,125.15990025771985
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p3_LR0p001_K20,attention_lstm,2,128,0.3,0.001,100,20,4.979475637497135,4.852061301041908,4.7959466363975105,121.01888846101225
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p3_LR0p001_K40,attention_lstm,2,128,0.3,0.001,100,40,4.98423452743101,4.838982013292354,4.782373397094382,119.38736768690967
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p2_LR0p001_K20,attention_lstm,3,128,0.2,0.001,100,20,4.860008151534863,4.845755341166806,4.7928850306853965,120.64894294345267
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p2_LR0p001_K40,attention_lstm,3,128,0.2,0.001,100,40,4.868245268874738,4.8329562703259565,4.772767232277075,118.24600379754649
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p3_LR0p001_K20,attention_lstm,3,128,0.3,0.001,100,20,5.103478320281743,4.866649155659318,4.810658781407243,122.8124974631436
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p3_LR0p001_K40,attention_lstm,3,128,0.3,0.001,100,40,5.109925113495954,4.8630068902133,4.801665753743518,121.71299262487284
rnn_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p0_LR0p0005,rnn,1,256,0.0,0.0005,100,,4.586090418494837,5.485409586014191,5.434476915276881,229.17294005350865
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p2_LR0p0005,lstm,1,256,0.2,0.0005,100,,4.51817177784411,5.269054651491671,5.215679859351753,184.13696567254735
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p3_LR0p0005,lstm,1,256,0.3,0.0005,100,,4.692787178837255,5.09402030165176,5.042456629855485,154.84995717411277
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p2_LR0p0005,lstm,2,256,0.2,0.0005,100,,4.557860586221408,5.017206482337712,4.962484640814715,142.94853077408237
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p3_LR0p0005,lstm,2,256,0.3,0.0005,100,,4.814380349323045,4.842794793957557,4.786626070008215,119.89616421752969
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L3_D0p2_LR0p0005,lstm,3,256,0.2,0.0005,100,,4.616218800336567,4.8568161610350575,4.799932608451772,121.50222901949334
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L3_D0p3_LR0p0005,lstm,3,256,0.3,0.0005,100,,4.892702782728037,4.759186879997342,4.701147529275179,110.07341246944026
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p2_LR0p0005_K20,attention_lstm,1,256,0.2,0.0005,100,20,4.1874255953989366,5.664851579270161,5.621606750631961,276.33302499103837
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p2_LR0p0005_K40,attention_lstm,1,256,0.2,0.0005,100,40,4.226574501043337,5.593060479198355,5.542988430712856,255.44022537642817
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p3_LR0p0005_K20,attention_lstm,1,256,0.3,0.0005,100,20,4.377896542409289,5.40547404901714,5.357377901005431,212.16789122747537
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p3_LR0p0005_K40,attention_lstm,1,256,0.3,0.0005,100,40,4.404577534140454,5.354984825324494,5.308968019754873,202.141514662598
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p2_LR0p0005_K20,attention_lstm,2,256,0.2,0.0005,100,20,4.3402076791068005,5.213253149215594,5.159494632785603,174.0764608360431
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p2_LR0p0005_K40,attention_lstm,2,256,0.2,0.0005,100,40,4.366301128802338,5.143787649096932,5.090344817310628,162.44586654409974
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p3_LR0p0005_K20,attention_lstm,2,256,0.3,0.0005,100,20,4.628512204957455,4.935170146722316,4.882358706379116,131.94150842380716
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p3_LR0p0005_K40,attention_lstm,2,256,0.3,0.0005,100,40,4.643157509318917,4.89511209231363,4.8435873359385635,126.92385452038444
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L3_D0p2_LR0p0005_K20,attention_lstm,3,256,0.2,0.0005,100,20,4.426365924122956,5.026563798451451,4.969373582491542,143.93669465907797
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L3_D0p2_LR0p0005_K40,attention_lstm,3,256,0.2,0.0005,100,40,4.4472417124569485,4.978936280767539,4.929305531704718,138.28344551746613
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L3_D0p3_LR0p0005_K20,attention_lstm,3,256,0.3,0.0005,100,20,4.726561860952571,4.827577304391376,4.773291655179471,118.30803097286886
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L3_D0p3_LR0p0005_K40,attention_lstm,3,256,0.3,0.0005,100,40,4.7411856962197785,4.809480098615009,4.755205585278585,116.18753715641083
rnn_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p0_LR0p001,rnn,1,256,0.0,0.001,100,,4.2809491810176405,5.856500177823808,5.807737878666535,332.86529168655983
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p2_LR0p001,lstm,1,256,0.2,0.001,100,,4.262806764052576,5.529602670697311,5.48415379497291,240.84505344861194
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p3_LR0p001,lstm,1,256,0.3,0.001,100,,4.46042019596845,5.251633881736181,5.204556560875557,182.10010455128722
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p2_LR0p001,lstm,2,256,0.2,0.001,100,,4.335456199565369,5.0935172119781775,5.040347009953357,154.52362695999943
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p3_LR0p001,lstm,2,256,0.3,0.001,100,,4.614566630245759,4.838640706873144,4.785667634234814,119.78130649531728
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L3_D0p2_LR0p001,lstm,3,256,0.2,0.001,100,,4.3992849413588795,4.8774952835984875,4.820522241358928,124.02984738510938
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L3_D0p3_LR0p001,lstm,3,256,0.3,0.001,100,,4.691133327118805,4.734235584643352,4.681190693760098,107.89847015026491
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p2_LR0p001_K20,attention_lstm,1,256,0.2,0.001,100,20,3.899634917410084,5.971314050728469,5.9381607281959665,379.2367681859385
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p2_LR0p001_K40,attention_lstm,1,256,0.2,0.001,100,40,3.9461003519625986,5.865199586183561,5.828647204217713,339.8985545836403
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p3_LR0p001_K20,attention_lstm,1,256,0.3,0.001,100,20,4.1075914352961425,5.6561310436543355,5.614956739034132,274.50150373832685
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p3_LR0p001_K40,attention_lstm,1,256,0.3,0.001,100,40,4.137193876502621,5.593258905061512,5.552497507084561,257.8808114573521
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p2_LR0p001_K20,attention_lstm,2,256,0.2,0.001,100,20,4.1181295025335,5.303397769422831,5.261925576276474,192.85248616537382
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p2_LR0p001_K40,attention_lstm,2,256,0.2,0.001,100,40,4.1460439849888315,5.233498205128315,5.18363145856983,178.32923177481217
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p3_LR0p001_K20,attention_lstm,2,256,0.3,0.001,100,20,4.430383965185138,4.947702546162711,4.896246498811941,133.78666764385156
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p3_LR0p001_K40,attention_lstm,2,256,0.3,0.001,100,40,4.444295113545408,4.914572190558397,4.862302742615033,129.3216539820558
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L3_D0p2_LR0p001_K20,attention_lstm,3,256,0.2,0.001,100,20,4.216332600539907,5.070945145318709,5.019096240889555,151.27452626510322
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L3_D0p2_LR0p001_K40,attention_lstm,3,256,0.2,0.001,100,40,4.238720961401924,5.021485061713971,4.969301106117091,143.92626302732657
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L3_D0p3_LR0p001_K20,attention_lstm,3,256,0.3,0.001,100,20,4.531988192399495,4.82560627454466,4.777793556148723,118.84184269436084
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L3_D0p3_LR0p001_K40,attention_lstm,3,256,0.3,0.001,100,40,4.546546702570345,4.810106298212955,4.7582882222033716,116.54625376111163
rnn_num_epochs1_B64_E128_vocab_size5000_S200_H128_L1_D0p0_LR0p0005,rnn,1,128,0.0,0.0005,200,,4.88876534581099,5.336305338757709,5.281501703003608,196.664986112331
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L1_D0p2_LR0p0005,lstm,1,128,0.2,0.0005,200,,4.871135961556736,5.0446265425728365,4.9876872440343885,146.5969880726381
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L1_D0p3_LR0p0005,lstm,1,128,0.3,0.0005,200,,5.020071462700012,5.000226837824849,4.947319974015328,140.7971178945252
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L2_D0p2_LR0p0005,lstm,2,128,0.2,0.0005,200,,4.978752317057324,4.885308668543992,4.824676718402825,124.54619838033621
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L2_D0p3_LR0p0005,lstm,2,128,0.3,0.0005,200,,5.199540367267683,4.888502325502414,4.828276002416057,124.99528322821351
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L3_D0p2_LR0p0005,lstm,3,128,0.2,0.0005,200,,5.0622541835776715,4.838719822642872,4.778714848355234,118.95138120858451
lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L3_D0p3_LR0p0005,lstm,3,128,0.3,0.0005,200,,5.310834426415231,4.9034988051479305,4.846239501044727,127.26092432328952
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L1_D0p2_LR0p0005_K20,attention_lstm,1,128,0.2,0.0005,200,20,4.62097999954497,5.197555623471159,5.148211828999351,172.1234288416561
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L1_D0p2_LR0p0005_K40,attention_lstm,1,128,0.2,0.0005,200,40,4.634886348005522,5.168855642577977,5.120916591880011,167.48881817624405
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L1_D0p3_LR0p0005_K20,attention_lstm,1,128,0.3,0.0005,200,20,4.7665050378584874,5.088897337496859,5.037472355967639,154.08006285199102
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L1_D0p3_LR0p0005_K40,attention_lstm,1,128,0.3,0.0005,200,40,4.781420695448594,5.072086571906377,5.020548851308557,151.49442889584415
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L2_D0p2_LR0p0005_K20,attention_lstm,2,128,0.2,0.0005,200,20,4.797628414257916,4.917670405582317,4.866861603542118,129.91255932164373
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S200_H128_L2_D0p2_LR0p0005_K40,attention_lstm,2,128,0.2,0.0005,200,40,4.801646923865115,4.894738774669981,4.839994880429047,126.46870426295258
