Final training run: final_rnn_h128_lr0p0005
================================================================================
Run: final_rnn_h128_lr0p0005
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_rnn_h128_lr0p0005.pt', model_name='rnn', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=128, num_layers=1, dropout=0.0, window_size_k=5, learning_rate=0.0005, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_rnn_h128_lr0p0005_generation')
  Batch 10700/12186 | Avg Train Loss: 5.2681
  Batch 10800/12186 | Avg Train Loss: 5.2627
  Batch 10900/12186 | Avg Train Loss: 5.2573
  Batch 11000/12186 | Avg Train Loss: 5.2520
  Batch 11100/12186 | Avg Train Loss: 5.2468
  Batch 11200/12186 | Avg Train Loss: 5.2416
  Batch 11300/12186 | Avg Train Loss: 5.2366
  Batch 11400/12186 | Avg Train Loss: 5.2315
  Batch 11500/12186 | Avg Train Loss: 5.2266
  Batch 11600/12186 | Avg Train Loss: 5.2217
  Batch 11700/12186 | Avg Train Loss: 5.2168
  Batch 11800/12186 | Avg Train Loss: 5.2119
  Batch 11900/12186 | Avg Train Loss: 5.2071
  Batch 12000/12186 | Avg Train Loss: 5.2024
  Batch 12100/12186 | Avg Train Loss: 5.1978
Epoch 1/4 | Train Loss: 5.1938 | Val Loss: 5.5851 | Val PPL: 266.43 | Time: 1369.1s
Saved best checkpoint to checkpoints/final_models/final_rnn_h128_lr0p0005.pt
  Batch 100/12186 | Avg Train Loss: 4.6239
  Batch 200/12186 | Avg Train Loss: 4.6203
  Batch 300/12186 | Avg Train Loss: 4.6183
  Batch 400/12186 | Avg Train Loss: 4.6182
  Batch 500/12186 | Avg Train Loss: 4.6164
  Batch 600/12186 | Avg Train Loss: 4.6157
  Batch 700/12186 | Avg Train Loss: 4.6140
  Batch 800/12186 | Avg Train Loss: 4.6125
  Batch 900/12186 | Avg Train Loss: 4.6107
  Batch 1000/12186 | Avg Train Loss: 4.6087
  Batch 1100/12186 | Avg Train Loss: 4.6073
  Batch 1200/12186 | Avg Train Loss: 4.6053
