Final training run: final_lstm_l2_h256_d0p3_lr0p001
================================================================================
Run: final_lstm_l2_h256_d0p3_lr0p001
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_lstm_l2_h256_d0p3_lr0p001.pt', model_name='lstm', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=256, num_layers=2, dropout=0.3, window_size_k=5, learning_rate=0.001, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_lstm_l2_h256_d0p3_lr0p001_generation')
  Batch 10600/12186 | Avg Train Loss: 5.1912
  Batch 10700/12186 | Avg Train Loss: 5.1889
  Batch 10800/12186 | Avg Train Loss: 5.1866
  Batch 10900/12186 | Avg Train Loss: 5.1843
  Batch 11000/12186 | Avg Train Loss: 5.1820
  Batch 11100/12186 | Avg Train Loss: 5.1797
  Batch 11200/12186 | Avg Train Loss: 5.1775
  Batch 11300/12186 | Avg Train Loss: 5.1754
  Batch 11400/12186 | Avg Train Loss: 5.1733
  Batch 11500/12186 | Avg Train Loss: 5.1712
  Batch 11600/12186 | Avg Train Loss: 5.1691
  Batch 11700/12186 | Avg Train Loss: 5.1670
  Batch 11800/12186 | Avg Train Loss: 5.1650
  Batch 11900/12186 | Avg Train Loss: 5.1630
  Batch 12000/12186 | Avg Train Loss: 5.1609
  Batch 12100/12186 | Avg Train Loss: 5.1590
Epoch 1/4 | Train Loss: 5.1573 | Val Loss: 5.4932 | Val PPL: 243.04 | Time: 1846.7s
Saved best checkpoint to checkpoints/final_models/final_lstm_l2_h256_d0p3_lr0p001.pt
  Batch 100/12186 | Avg Train Loss: 4.9158
  Batch 200/12186 | Avg Train Loss: 4.9176
  Batch 300/12186 | Avg Train Loss: 4.9172
  Batch 400/12186 | Avg Train Loss: 4.9151
  Batch 500/12186 | Avg Train Loss: 4.9128
  Batch 600/12186 | Avg Train Loss: 4.9143
  Batch 700/12186 | Avg Train Loss: 4.9133
  Batch 800/12186 | Avg Train Loss: 4.9132
  Batch 900/12186 | Avg Train Loss: 4.9124
  Batch 1000/12186 | Avg Train Loss: 4.9121
  Batch 1100/12186 | Avg Train Loss: 4.9111
  Batch 1200/12186 | Avg Train Loss: 4.9110
  Batch 1300/12186 | Avg Train Loss: 4.9102
  Batch 1400/12186 | Avg Train Loss: 4.9098
  Batch 1500/12186 | Avg Train Loss: 4.9093
  Batch 1600/12186 | Avg Train Loss: 4.9087
  Batch 1700/12186 | Avg Train Loss: 4.9081
  Batch 1800/12186 | Avg Train Loss: 4.9079
  Batch 1900/12186 | Avg Train Loss: 4.9075
  Batch 2000/12186 | Avg Train Loss: 4.9069
  Batch 2100/12186 | Avg Train Loss: 4.9065
  Batch 2200/12186 | Avg Train Loss: 4.9060
  Batch 2300/12186 | Avg Train Loss: 4.9057
  Batch 2400/12186 | Avg Train Loss: 4.9051
  Batch 2500/12186 | Avg Train Loss: 4.9049
  Batch 2600/12186 | Avg Train Loss: 4.9043
  Batch 2700/12186 | Avg Train Loss: 4.9037
  Batch 2800/12186 | Avg Train Loss: 4.9031
  Batch 2900/12186 | Avg Train Loss: 4.9026
  Batch 3000/12186 | Avg Train Loss: 4.9021
  Batch 3100/12186 | Avg Train Loss: 4.9017
  Batch 3200/12186 | Avg Train Loss: 4.9012
  Batch 3300/12186 | Avg Train Loss: 4.9008
  Batch 3400/12186 | Avg Train Loss: 4.9004
  Batch 3500/12186 | Avg Train Loss: 4.9000
  Batch 3600/12186 | Avg Train Loss: 4.8995
  Batch 3700/12186 | Avg Train Loss: 4.8990
  Batch 3800/12186 | Avg Train Loss: 4.8988
  Batch 3900/12186 | Avg Train Loss: 4.8983
  Batch 4000/12186 | Avg Train Loss: 4.8979
  Batch 4100/12186 | Avg Train Loss: 4.8974
  Batch 4200/12186 | Avg Train Loss: 4.8969
  Batch 4300/12186 | Avg Train Loss: 4.8966
  Batch 4400/12186 | Avg Train Loss: 4.8961
  Batch 4500/12186 | Avg Train Loss: 4.8957
  Batch 4600/12186 | Avg Train Loss: 4.8952
  Batch 4700/12186 | Avg Train Loss: 4.8948
  Batch 4800/12186 | Avg Train Loss: 4.8943
  Batch 4900/12186 | Avg Train Loss: 4.8940
  Batch 5000/12186 | Avg Train Loss: 4.8937
  Batch 5100/12186 | Avg Train Loss: 4.8933
  Batch 5200/12186 | Avg Train Loss: 4.8930
  Batch 5300/12186 | Avg Train Loss: 4.8926
  Batch 5400/12186 | Avg Train Loss: 4.8921
  Batch 5500/12186 | Avg Train Loss: 4.8916
  Batch 5600/12186 | Avg Train Loss: 4.8913
  Batch 5700/12186 | Avg Train Loss: 4.8910
  Batch 5800/12186 | Avg Train Loss: 4.8907
  Batch 5900/12186 | Avg Train Loss: 4.8902
  Batch 6000/12186 | Avg Train Loss: 4.8898
  Batch 6100/12186 | Avg Train Loss: 4.8894
  Batch 6200/12186 | Avg Train Loss: 4.8890
  Batch 6300/12186 | Avg Train Loss: 4.8886
  Batch 6400/12186 | Avg Train Loss: 4.8882
  Batch 6500/12186 | Avg Train Loss: 4.8879
  Batch 6600/12186 | Avg Train Loss: 4.8875
  Batch 6700/12186 | Avg Train Loss: 4.8872
  Batch 6800/12186 | Avg Train Loss: 4.8868
  Batch 6900/12186 | Avg Train Loss: 4.8865
  Batch 7000/12186 | Avg Train Loss: 4.8860
  Batch 7100/12186 | Avg Train Loss: 4.8857
  Batch 7200/12186 | Avg Train Loss: 4.8854
  Batch 7300/12186 | Avg Train Loss: 4.8850
  Batch 7400/12186 | Avg Train Loss: 4.8847
  Batch 7500/12186 | Avg Train Loss: 4.8843
  Batch 7600/12186 | Avg Train Loss: 4.8839
  Batch 7700/12186 | Avg Train Loss: 4.8835
  Batch 7800/12186 | Avg Train Loss: 4.8831
  Batch 7900/12186 | Avg Train Loss: 4.8828
  Batch 8000/12186 | Avg Train Loss: 4.8824
  Batch 8100/12186 | Avg Train Loss: 4.8821
  Batch 8200/12186 | Avg Train Loss: 4.8817
  Batch 8300/12186 | Avg Train Loss: 4.8814
  Batch 8400/12186 | Avg Train Loss: 4.8810
  Batch 8500/12186 | Avg Train Loss: 4.8807
