Final training run: final_attention_lstm_l2_h128_d0p3_lr0p001_k20
================================================================================
Run: final_attention_lstm_l2_h128_d0p3_lr0p001_k20
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_attention_lstm_l2_h128_d0p3_lr0p001_k20.pt', model_name='attention_lstm', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=128, num_layers=2, dropout=0.3, window_size_k=20, learning_rate=0.001, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_attention_lstm_l2_h128_d0p3_lr0p001_k20_generation')
  Batch 10500/12186 | Avg Train Loss: 5.5210
  Batch 10600/12186 | Avg Train Loss: 5.5189
  Batch 10700/12186 | Avg Train Loss: 5.5167
  Batch 10800/12186 | Avg Train Loss: 5.5146
  Batch 10900/12186 | Avg Train Loss: 5.5125
  Batch 11000/12186 | Avg Train Loss: 5.5104
  Batch 11100/12186 | Avg Train Loss: 5.5084
  Batch 11200/12186 | Avg Train Loss: 5.5064
  Batch 11300/12186 | Avg Train Loss: 5.5043
  Batch 11400/12186 | Avg Train Loss: 5.5023
  Batch 11500/12186 | Avg Train Loss: 5.5004
  Batch 11600/12186 | Avg Train Loss: 5.4985
  Batch 11700/12186 | Avg Train Loss: 5.4965
  Batch 11800/12186 | Avg Train Loss: 5.4947
  Batch 11900/12186 | Avg Train Loss: 5.4928
  Batch 12000/12186 | Avg Train Loss: 5.4910
  Batch 12100/12186 | Avg Train Loss: 5.4892
Epoch 1/4 | Train Loss: 5.4877 | Val Loss: 5.5646 | Val PPL: 261.01 | Time: 1525.1s
Saved best checkpoint to checkpoints/final_models/final_attention_lstm_l2_h128_d0p3_lr0p001_k20.pt
  Batch 100/12186 | Avg Train Loss: 5.2717
  Batch 200/12186 | Avg Train Loss: 5.2701
  Batch 300/12186 | Avg Train Loss: 5.2683
  Batch 400/12186 | Avg Train Loss: 5.2687
  Batch 500/12186 | Avg Train Loss: 5.2688
  Batch 600/12186 | Avg Train Loss: 5.2686
  Batch 700/12186 | Avg Train Loss: 5.2678
  Batch 800/12186 | Avg Train Loss: 5.2676
  Batch 900/12186 | Avg Train Loss: 5.2675
  Batch 1000/12186 | Avg Train Loss: 5.2667
  Batch 1100/12186 | Avg Train Loss: 5.2658
  Batch 1200/12186 | Avg Train Loss: 5.2647
  Batch 1300/12186 | Avg Train Loss: 5.2642
  Batch 1400/12186 | Avg Train Loss: 5.2636
  Batch 1500/12186 | Avg Train Loss: 5.2633
  Batch 1600/12186 | Avg Train Loss: 5.2631
  Batch 1700/12186 | Avg Train Loss: 5.2630
  Batch 1800/12186 | Avg Train Loss: 5.2623
  Batch 1900/12186 | Avg Train Loss: 5.2621
  Batch 2000/12186 | Avg Train Loss: 5.2618
  Batch 2100/12186 | Avg Train Loss: 5.2614
