Final training run: final_lstm_l1_h128_d0p3_lr0p0005
================================================================================
Run: final_lstm_l1_h128_d0p3_lr0p0005
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_lstm_l1_h128_d0p3_lr0p0005.pt', model_name='lstm', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=128, num_layers=1, dropout=0.3, window_size_k=5, learning_rate=0.0005, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_lstm_l1_h128_d0p3_lr0p0005_generation')
  Batch 100/12186 | Avg Train Loss: 8.1317
  Batch 200/12186 | Avg Train Loss: 7.9627
  Batch 300/12186 | Avg Train Loss: 7.8719
  Batch 400/12186 | Avg Train Loss: 7.7780
  Batch 500/12186 | Avg Train Loss: 7.6652
  Batch 600/12186 | Avg Train Loss: 7.5401
  Batch 700/12186 | Avg Train Loss: 7.4150
  Batch 800/12186 | Avg Train Loss: 7.2966
  Batch 900/12186 | Avg Train Loss: 7.1871
  Batch 1000/12186 | Avg Train Loss: 7.0864
  Batch 1100/12186 | Avg Train Loss: 6.9955
  Batch 1200/12186 | Avg Train Loss: 6.9118
  Batch 1300/12186 | Avg Train Loss: 6.8352
  Batch 1400/12186 | Avg Train Loss: 6.7656
  Batch 1500/12186 | Avg Train Loss: 6.7012
  Batch 1600/12186 | Avg Train Loss: 6.6417
  Batch 1700/12186 | Avg Train Loss: 6.5868
  Batch 1800/12186 | Avg Train Loss: 6.5359
  Batch 1900/12186 | Avg Train Loss: 6.4882
  Batch 2000/12186 | Avg Train Loss: 6.4440
  Batch 2100/12186 | Avg Train Loss: 6.4023
  Batch 2200/12186 | Avg Train Loss: 6.3631
  Batch 2300/12186 | Avg Train Loss: 6.3265
  Batch 2400/12186 | Avg Train Loss: 6.2914
  Batch 2500/12186 | Avg Train Loss: 6.2587
  Batch 2600/12186 | Avg Train Loss: 6.2274
  Batch 2700/12186 | Avg Train Loss: 6.1976
  Batch 2800/12186 | Avg Train Loss: 6.1694
  Batch 2900/12186 | Avg Train Loss: 6.1428
  Batch 3000/12186 | Avg Train Loss: 6.1170
  Batch 3100/12186 | Avg Train Loss: 6.0926
  Batch 3200/12186 | Avg Train Loss: 6.0691
  Batch 3300/12186 | Avg Train Loss: 6.0468
  Batch 3400/12186 | Avg Train Loss: 6.0252
  Batch 3500/12186 | Avg Train Loss: 6.0043
  Batch 3600/12186 | Avg Train Loss: 5.9846
  Batch 3700/12186 | Avg Train Loss: 5.9655
  Batch 3800/12186 | Avg Train Loss: 5.9472
  Batch 3900/12186 | Avg Train Loss: 5.9295
  Batch 4000/12186 | Avg Train Loss: 5.9125
  Batch 4100/12186 | Avg Train Loss: 5.8961
  Batch 4200/12186 | Avg Train Loss: 5.8801
  Batch 4300/12186 | Avg Train Loss: 5.8646
  Batch 4400/12186 | Avg Train Loss: 5.8495
  Batch 4500/12186 | Avg Train Loss: 5.8351
  Batch 4600/12186 | Avg Train Loss: 5.8211
  Batch 4700/12186 | Avg Train Loss: 5.8075
  Batch 4800/12186 | Avg Train Loss: 5.7943
  Batch 4900/12186 | Avg Train Loss: 5.7813
  Batch 5000/12186 | Avg Train Loss: 5.7687
  Batch 5100/12186 | Avg Train Loss: 5.7566
  Batch 5200/12186 | Avg Train Loss: 5.7448
  Batch 5300/12186 | Avg Train Loss: 5.7333
  Batch 5400/12186 | Avg Train Loss: 5.7222
  Batch 5500/12186 | Avg Train Loss: 5.7113
  Batch 5600/12186 | Avg Train Loss: 5.7007
  Batch 5700/12186 | Avg Train Loss: 5.6904
  Batch 5800/12186 | Avg Train Loss: 5.6802
  Batch 5900/12186 | Avg Train Loss: 5.6703
  Batch 6000/12186 | Avg Train Loss: 5.6607
  Batch 6100/12186 | Avg Train Loss: 5.6513
  Batch 6200/12186 | Avg Train Loss: 5.6421
  Batch 6300/12186 | Avg Train Loss: 5.6332
  Batch 6400/12186 | Avg Train Loss: 5.6243
  Batch 6500/12186 | Avg Train Loss: 5.6156
  Batch 6600/12186 | Avg Train Loss: 5.6071
  Batch 6700/12186 | Avg Train Loss: 5.5988
  Batch 6800/12186 | Avg Train Loss: 5.5906
  Batch 6900/12186 | Avg Train Loss: 5.5826
  Batch 7000/12186 | Avg Train Loss: 5.5748
  Batch 7100/12186 | Avg Train Loss: 5.5671
  Batch 7200/12186 | Avg Train Loss: 5.5595
  Batch 7300/12186 | Avg Train Loss: 5.5522
  Batch 7400/12186 | Avg Train Loss: 5.5450
  Batch 7500/12186 | Avg Train Loss: 5.5379
  Batch 7600/12186 | Avg Train Loss: 5.5309
  Batch 7700/12186 | Avg Train Loss: 5.5240
  Batch 7800/12186 | Avg Train Loss: 5.5173
  Batch 7900/12186 | Avg Train Loss: 5.5107
  Batch 8000/12186 | Avg Train Loss: 5.5043
  Batch 8100/12186 | Avg Train Loss: 5.4979
  Batch 8200/12186 | Avg Train Loss: 5.4916
  Batch 8300/12186 | Avg Train Loss: 5.4854
  Batch 8400/12186 | Avg Train Loss: 5.4793
  Batch 8500/12186 | Avg Train Loss: 5.4733
  Batch 8600/12186 | Avg Train Loss: 5.4674
  Batch 8700/12186 | Avg Train Loss: 5.4615
  Batch 8800/12186 | Avg Train Loss: 5.4558
  Batch 8900/12186 | Avg Train Loss: 5.4502
  Batch 9000/12186 | Avg Train Loss: 5.4447
  Batch 9100/12186 | Avg Train Loss: 5.4392
  Batch 9200/12186 | Avg Train Loss: 5.4338
  Batch 9300/12186 | Avg Train Loss: 5.4284
  Batch 9400/12186 | Avg Train Loss: 5.4231
  Batch 9500/12186 | Avg Train Loss: 5.4179
  Batch 9600/12186 | Avg Train Loss: 5.4128
  Batch 9700/12186 | Avg Train Loss: 5.4078
  Batch 9800/12186 | Avg Train Loss: 5.4029
  Batch 9900/12186 | Avg Train Loss: 5.3980
  Batch 10000/12186 | Avg Train Loss: 5.3932
  Batch 10100/12186 | Avg Train Loss: 5.3885
  Batch 10200/12186 | Avg Train Loss: 5.3837
  Batch 10300/12186 | Avg Train Loss: 5.3791
  Batch 10400/12186 | Avg Train Loss: 5.3745
  Batch 10500/12186 | Avg Train Loss: 5.3700
  Batch 10600/12186 | Avg Train Loss: 5.3656
  Batch 10700/12186 | Avg Train Loss: 5.3612
  Batch 10800/12186 | Avg Train Loss: 5.3568
  Batch 10900/12186 | Avg Train Loss: 5.3525
  Batch 11000/12186 | Avg Train Loss: 5.3483
  Batch 11100/12186 | Avg Train Loss: 5.3440
  Batch 11200/12186 | Avg Train Loss: 5.3399
  Batch 11300/12186 | Avg Train Loss: 5.3358
